0xfe019a,neon pink
0xf7879a,rose pink
0x887191,greyish purple
0xb00149,raspberry
0x12e193,aqua green
0xfe7b7c,salmon pink
0xff9408,tangerine
0x6a6e09,brownish green
0x8b2e16,red brown
0x696112,greenish brown
0xe17701,pumpkin
0x0a481e,pine green
0x343837,charcoal
0xffb7ce,baby pink
0x6a79f7,cornflower
0x5d06e9,blue violet
0x3d1c02,chocolate
0x82a67d,greyish green
0xbe0119,scarlet
0xc9ff27,green yellow
0x373e02,dark olive
0xa9561e,sienna
0xcaa0ff,pastel purple
0xca6641,terracotta
0x02d8e9,aqua blue
0x88b378,sage green
0x980002,blood red
0xcb0162,deep pink
0x5cac2d,grass
0x769958,moss
0xa2bffe,pastel blue
0x10a674,bluish green
0x06b48b,green blue
0xaf884a,dark tan
0x0b8b87,greenish blue
0xffa756,pale orange
0xa2a415,vomit
0x154406,forrest green
0x856798,dark lavender
0x34013f,dark violet
0x632de9,purple blue
0x0a888a,dark cyan
0x6f7632,olive drab
0xd46a7e,pinkish
0x1e488f,cobalt
0xbc13fe,neon purple
0x7ef4cc,light turquoise
0x76cd26,apple green
0x74a662,dull green
0x80013f,wine
0xb1d1fc,powder blue
0xffffe4,off white
0x0652ff,electric blue
0x045c5a,dark turquoise
0x5729ce,blue purple
0x069af3,azure
0xff000d,bright red
0xf10c45,pinkish red
0x5170d7,cornflower blue
0xacbf69,light olive
0x6c3461,grape
0x5e819d,greyish blue
0x601ef9,purplish blue
0xb0dd16,yellowish green
0xcdfd02,greenish yellow
0x2c6fbb,medium blue
0xc0737a,dusty rose
0xd6b4fc,light violet
0x020035,midnight blue
0x703be7,bluish purple
0xfd3c06,red orange
0x960056,dark magenta
0x40a368,greenish
0x03719c,ocean blue
0xfc5a50,coral
0xffffc2,cream
0x7f2b0a,reddish brown
0xb04e0f,burnt sienna
0xa03623,brick
0x87ae73,sage
0x789b73,grey green
0xffffff,white
0x98eff9,robin's egg blue
0x658b38,moss green
0x5a7d9a,steel blue
0x380835,eggplant
